date,open,high,low,close,volume
1/26/2009,83.59,85.36,82.81,83.68,317922800
1/27/2009,84.13,85.15,83.3,84.53,273624300
1/28/2009,86.4,87.95,86.07,87.39,329873500
1/29/2009,86.11,87.4901,84.47,84.55,294306700
1/30/2009,84.98,85.4,82.21,82.83,383282400
2/2/2009,81.57,83.18,81.31,82.58,287986600
2/3/2009,83.1,84.36,82.22,83.74,278318300
2/4/2009,84.3,85.37,83.04,83.33,322653000
2/5/2009,82.7,85.29,77.73,84.57,417477000
2/6/2009,84.86,87.34,84.68,86.979,365725200
2/9/2009,86.96,87.74,86.32,87.1,239233300
2/10/2009,86.27,87.03,82.45,83.11,535895100
2/11/2009,83.45,84.05,82.4,83.6,324406600
2/12/2009,82.17,83.82,81.05,83.66,468794800
2/13/2009,83.55,84.24,82.74,82.76,293715600
2/17/2009,80.16,82.958,79.17,79.22,478265000
2/18/2009,79.79,79.94,78.28,79.03,362356900
2/19/2009,79.84,80.15,78.02,78.181,315719800
2/20/2009,76.73,78.34,75.77,77.42,476967600
2/23/2009,78.27,78.27,74.59,74.65,378919600
2/24/2009,75.29,77.95,74.7003,77.48,426139900
2/25/2009,77.14,78.42,75.63,76.872,461709400
2/26/2009,77.82,79.6667,75.53,75.62,363095700
2/27/2009,74.01,75.6872,73.81,73.93,470430700
3/2/2009,72.52,73.9169,70.37,70.6,426171400
3/3/2009,71.61,71.7,69.64,70.07,443277000
3/4/2009,71.23,72.87,70.0729,71.73,461728200
3/5/2009,70.1,71.73,68.17,68.8,485124800
3/6/2009,69.4,70.45,67.1,68.92,490389400
3/9/2009,67.95,70,67.73,68.11,379708400
3/10/2009,69.51,72.37,69.37,72.17,405794300
3/11/2009,73,73.75,71.83,72.64,356603100
3/12/2009,72.62,75.75,71.97,75.5,409556900
3/13/2009,76.01,76.98,74.73,76.09,336785600
3/16/2009,76.96,77.97,75.81,75.86,360356100
3/17/2009,76.07,78.36,75.45,78.18,356790700
3/18/2009,77.81,80.9,77.07,79.93,468196700
3/19/2009,80.93,81,78.69,78.94,428426400
3/20/2009,78.76,78.91,76.53,76.71,371022100
3/23/2009,78.74,82.29,78.31,82.22,419865700
3/24/2009,81.24,82.36,80.51,80.6,330263900
3/25/2009,81.23,82.7,79.06,81.45,440654200
